City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Norfolk,US,55.92,clear sky,34.8791,-76.9013,
515,Vicuna,CL,46.11,broken clouds,-53.15,-70.9167,
516,General Roca,AR,69.1,broken clouds,-38.0023,-57.5575,
517,Brodokalmak,RU,22.08,few clouds,61.113,44.8302,
518,Khilok,RU,22.08,few clouds,61.113,44.8302,
520,Bozeman,US,55.92,clear sky,34.8791,-76.9013,
524,Samalaeulu,BA,26.58,few clouds,44.7987,16.739,
525,Segou,ML,71.38,clear sky,18.9048,-3.5265,
527,Benton Harbor,US,55.92,clear sky,34.8791,-76.9013,
529,Tokamachi,JP,53.89,scattered clouds,35.7333,140.8333,
530,Rivera,UY,56.91,clear sky,-34.4833,-54.3333,
531,Faya,TD,73.9,scattered clouds,11.7833,17.1667,
533,Zaysan,KZ,20.73,overcast clouds,51.1,66.3167,
534,Hualmay,PE,70.02,overcast clouds,-13.7,-76.2167,
536,Manzanillo,AR,66.78,clear sky,-33.295,-66.3356,
538,Turka,RU,22.08,few clouds,61.113,44.8302,
539,Laukaa,RU,22.1,clear sky,58.7372,29.8453,
541,Honningsvag,NO,33.98,light snow,71.0357,27.8492,
542,Knysna,ZA,69.35,light rain,-33.9258,18.4232,
543,Grosseto,IT,47.77,clear sky,38.2779,16.302,
547,Chengmai,CN,43.92,broken clouds,41.7597,86.1469,
548,Darab,IR,57.36,clear sky,28.2211,61.2158,
549,Punta Cardon,VE,73.18,clear sky,8.0086,-62.3989,
551,Samusu,BA,26.58,few clouds,44.7987,16.739,
552,Trinidad,US,58.53,clear sky,37.7799,-121.978,
553,Skalistyy,RU,22.08,few clouds,61.113,44.8302,
555,North Branch,US,55.92,clear sky,34.8791,-76.9013,
556,Lubao,CD,66.92,overcast clouds,-5.041,18.8162,
557,Santa Lucia,PE,70.02,overcast clouds,-13.7,-76.2167,
558,Viesca,AR,66.78,clear sky,-33.295,-66.3356,
561,Adrar,DZ,46.11,clear sky,36.0998,0.4206,
563,Naron,ES,50.38,clear sky,35.2937,-2.9383,
564,Churapcha,RU,22.08,few clouds,61.113,44.8302,
565,Deputatskiy,RU,22.08,few clouds,61.113,44.8302,
567,Egvekinot,RU,22.08,few clouds,61.113,44.8302,
568,Russell,NZ,58.8,clear sky,-46.6,168.3333,
569,Vostok,RU,22.08,few clouds,61.113,44.8302,
570,Lokomotivnyy,RU,22.08,few clouds,61.113,44.8302,
571,Eureka,US,55.92,clear sky,34.8791,-76.9013,
573,Namibe,AO,60.4,overcast clouds,-14.6585,17.691,
579,Gat,LY,58.42,overcast clouds,29.1081,21.2869,
580,Binzhou,CN,43.92,broken clouds,41.7597,86.1469,
581,Santa Isabel,AR,66.78,clear sky,-33.295,-66.3356,
582,Dawlatabad,AF,33.19,scattered clouds,33.35,64.4167,
583,Nador,MA,55.13,clear sky,32.2994,-9.2372,
584,Berlevag,NO,33.98,light snow,71.0357,27.8492,
585,Skjervoy,NO,33.98,light snow,71.0357,27.8492,
586,Chistogorskiy,RU,22.08,few clouds,61.113,44.8302,
588,Kipushi,CD,66.92,overcast clouds,-5.041,18.8162,
592,Gibara,AR,69.01,light rain,-31.6333,-60.7,
594,Denia,ES,50.38,clear sky,35.2937,-2.9383,
597,Zehdenick,DE,35.29,overcast clouds,52.9785,13.3317,
598,Constantine,DZ,46.11,clear sky,36.0998,0.4206,
600,Lianran,CN,43.92,broken clouds,41.7597,86.1469,
601,Ekhabi,RU,22.08,few clouds,61.113,44.8302,
602,Gulshat,KZ,20.73,overcast clouds,51.1,66.3167,
603,Poopo,US,58.53,clear sky,37.7799,-121.978,
604,Aykino,RU,22.08,few clouds,61.113,44.8302,
607,Tlyustenkhabl,RU,22.08,few clouds,61.113,44.8302,
608,Erzin,RU,22.08,few clouds,61.113,44.8302,
609,Chipinge,ZW,65.91,scattered clouds,-20.1883,32.6236,
612,Shubarshi,KZ,20.73,overcast clouds,51.1,66.3167,
613,Bogandinskiy,RU,22.08,few clouds,61.113,44.8302,
614,Hirara,JP,53.89,scattered clouds,35.7333,140.8333,
617,Mporokoso,ZM,64.6,overcast clouds,-14.0678,32.4392,
618,Acapulco,AR,66.78,clear sky,-33.295,-66.3356,
619,Sinnamary,GF,71.92,moderate rain,4.25,-54.3833,
620,Stutterheim,ZA,69.35,light rain,-33.9258,18.4232,
621,Virginia Beach,US,55.92,clear sky,34.8791,-76.9013,
622,Abu Samrah,SY,53.22,overcast clouds,35.3029,37.1841,
623,Aygut,AM,40.66,overcast clouds,40.6833,45.1729,
624,Pachino,IT,47.77,clear sky,38.2779,16.302,
625,Tarrega,ES,50.38,clear sky,35.2937,-2.9383,
626,Erenhot,CN,43.92,broken clouds,41.7597,86.1469,
